City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
530,coacotla,17.9333,-94.675,21.98,94,61,1.04,MX,1701405847
531,yarmouth,41.7057,-70.2286,9.98,81,0,7.2,US,1701405590
532,laguna,38.421,-121.4238,12.99,63,0,3.6,US,1701405848
533,ypacarai,-25.4051,-57.2855,28.94,93,100,3.49,PY,1701405848
534,mtambile,-5.3833,39.7,27.72,78,45,4.58,TZ,1701405849
535,beaconsfield,45.4334,-73.8659,6.02,72,100,5.66,CA,1701405849
536,khabarovsk,48.4808,135.0928,-13.11,71,0,7.15,RU,1701405849
537,riosucio,5.4216,-75.7032,11.96,95,87,0.45,CO,1701405850
538,pindushi,62.9152,34.58,-7.54,94,100,3.38,RU,1701405850
539,puerto san jose,13.9256,-90.8244,24.94,79,23,1.94,GT,1701405850
540,misratah,32.3754,15.0925,17.55,37,2,6.19,LY,1701405851
541,baglung,28.2719,83.5898,21.55,27,100,1.73,NP,1701405851
542,luanco,43.6152,-5.7934,9.71,78,55,4.16,ES,1701405852
543,coquimbo,-29.9533,-71.3436,14.85,94,100,1.54,CL,1701405852
544,lycksele,64.5954,18.6735,-12.54,85,75,0.51,SE,1701405852
545,den burg,53.0542,4.7972,0.56,88,20,3.6,NL,1701405852
546,ponta delgada,37.7333,-25.6667,14.4,62,75,3.09,PT,1701405853
547,walvis bay,-22.9575,14.5053,17.53,88,75,1.54,NA,1701405853
548,kirkwall,58.9848,-2.9587,4.03,75,75,2.06,GB,1701405853
549,akureyri,65.6835,-18.0878,-1.04,93,100,3.09,IS,1701405854
550,zeya,53.75,127.2667,-8.06,50,6,0.55,RU,1701405854
551,kavaratti,10.5669,72.642,28.34,75,100,4.84,IN,1701405854
552,moab,38.5733,-109.5498,3.6,81,100,0.92,US,1701405855
553,akonolinga,3.7667,12.25,19.61,91,49,0.67,CM,1701405855
554,asola,45.2211,10.4136,5.44,95,100,0.42,IT,1701405855
555,muynoq,43.7683,59.0214,5.4,40,100,4.99,UZ,1701405856
556,santiago del estero,-27.7951,-64.2615,22.16,91,19,0.76,AR,1701405669
557,am timan,11.0297,20.2827,23.82,31,81,1.91,TD,1701405856
558,anton lizardo,19.05,-95.9833,24.12,91,81,2.89,MX,1701405857
559,puerto carreno,6.189,-67.4859,25.28,72,82,2.54,CO,1701405857
560,lompoc,34.6391,-120.4579,13.62,82,0,9.77,US,1701405857
561,apac,1.9756,32.5386,20.23,70,69,0.45,UG,1701405858
562,oras,12.1406,125.4397,27.81,85,29,4.65,PH,1701405858
563,mantua,45.1667,10.7833,5.59,91,100,0.89,IT,1701405858
564,meadow lake,34.8014,-106.5436,3.8,80,99,2.7,US,1701405859
565,margherita,27.2833,95.6833,25.55,43,12,1.44,IN,1701405859
566,sadao,6.6388,100.4234,28.9,80,100,3.52,TH,1701405859
567,beledweyne,4.7358,45.2036,27.09,55,20,6.86,SO,1701405860
568,djambala,-2.5447,14.7533,19.49,93,91,0.66,CG,1701405860
569,belaya kholunitsa,58.84,50.8528,-8.81,94,100,3.0,RU,1701405860
570,cuito,-12.3833,16.9333,15.74,97,100,2.29,AO,1701405861
571,concordia,-31.393,-58.0209,23.77,96,0,0.89,AR,1701405861
572,kalabo,-14.97,22.6814,20.16,89,100,1.98,ZM,1701405861
573,mbamba bay,-11.2833,34.7667,22.67,93,100,1.78,TZ,1701405861
574,tuy hoa,13.0833,109.3,26.41,89,100,6.05,VN,1701405862
575,shakawe,-18.3667,21.85,21.51,77,100,1.56,BW,1701405862
576,sirte,31.2089,16.5887,16.98,42,0,5.29,LY,1701405862
577,seminole,28.7086,-81.2081,18.92,90,20,3.09,US,1701405863
578,nueva loja,0.0847,-76.8828,21.04,99,70,1.17,EC,1701405863
579,lepsy,46.235,78.9456,4.6,59,97,2.72,KZ,1701405863
580,moyynkum,44.2914,72.9469,5.36,45,100,5.72,KZ,1701405864
